date,county,diseases,diagnosis,species,disease_value
2021-01-01,Taita Taveta,Brucellosis,Clinically confirmed,Human,24
2021-01-01,Taita Taveta,Brucellosis,Lab confirmed,Human,85
2021-01-01,Tana River,Brucellosis,Clinically confirmed,Human,32
2021-01-01,Tana River,Anthrax,Clinically confirmed,Human,1
2021-01-01,Tana River,Brucellosis,Lab confirmed,Human,151
2021-01-01,Tharaka Nithi,Brucellosis,Clinically confirmed,Human,176
2021-01-01,Tharaka Nithi,Brucellosis,Lab confirmed,Human,813
2021-01-01,Trans Nzoia,Brucellosis,Clinically confirmed,Human,341
2021-01-01,Trans Nzoia,Brucellosis,Lab confirmed,Human,1583
2021-01-01,Turkana,Brucellosis,Clinically confirmed,Human,250
2021-01-01,Turkana,Brucellosis,Lab confirmed,Human,960
2021-01-01,Uasin Gishu,Brucellosis,Clinically confirmed,Human,242
2021-01-01,Uasin Gishu,Brucellosis,Lab confirmed,Human,1468
2021-01-01,Vihiga,Brucellosis,Clinically confirmed,Human,20
2021-01-01,Vihiga,Brucellosis,Lab confirmed,Human,252
2021-01-01,Wajir,Brucellosis,Clinically confirmed,Human,26
2021-01-01,Wajir,Brucellosis,Lab confirmed,Human,195
2021-01-01,West Pokot,Brucellosis,Clinically confirmed,Human,475
2021-01-01,West Pokot,Brucellosis,Lab confirmed,Human,3038
2021-02-01,Baringo,Brucellosis,Clinically confirmed,Human,453
2021-02-01,Baringo,Brucellosis,Lab confirmed,Human,1133
2021-02-01,Bomet,Brucellosis,Clinically confirmed,Human,106
2021-02-01,Bomet,Anthrax,Clinically confirmed,Human,2
2021-02-01,Bomet,Brucellosis,Lab confirmed,Human,712
2021-02-01,Bungoma,Brucellosis,Clinically confirmed,Human,800
2021-02-01,Bungoma,Brucellosis,Lab confirmed,Human,2854
2021-02-01,Busia,Brucellosis,Clinically confirmed,Human,50
2021-02-01,Busia,Brucellosis,Lab confirmed,Human,468
2021-02-01,Elgeyo Marakwet,Brucellosis,Clinically confirmed,Human,640
2021-02-01,Elgeyo Marakwet,Brucellosis,Lab confirmed,Human,1773
2021-02-01,Embu,Brucellosis,Clinically confirmed,Human,61
2021-02-01,Embu,Brucellosis,Lab confirmed,Human,712
2021-02-01,Garissa,Brucellosis,Clinically confirmed,Human,60
2021-02-01,Garissa,Brucellosis,Lab confirmed,Human,855
2021-02-01,Homa Bay,Brucellosis,Clinically confirmed,Human,117
2021-02-01,Homa Bay,Brucellosis,Lab confirmed,Human,752
2021-02-01,Isiolo,Brucellosis,Clinically confirmed,Human,94
2021-02-01,Isiolo,Rvf,Clinically confirmed,Human,2
2021-02-01,Isiolo,Anthrax,Clinically confirmed,Human,4
2021-02-01,Isiolo,Brucellosis,Lab confirmed,Human,664
2021-02-01,Kajiado,Brucellosis,Clinically confirmed,Human,187
2021-02-01,Kajiado,Brucellosis,Lab confirmed,Human,675
2021-02-01,Kakamega,Brucellosis,Clinically confirmed,Human,154
2021-02-01,Kakamega,Brucellosis,Lab confirmed,Human,620
2021-02-01,Kericho,Brucellosis,Clinically confirmed,Human,282
2021-02-01,Kericho,Brucellosis,Lab confirmed,Human,1163
2021-02-01,Kiambu,Brucellosis,Clinically confirmed,Human,70
2021-02-01,Kiambu,Brucellosis,Lab confirmed,Human,582
2021-02-01,Kilifi,Brucellosis,Clinically confirmed,Human,14
2021-02-01,Kilifi,Brucellosis,Lab confirmed,Human,98
2021-02-01,Kirinyaga,Brucellosis,Clinically confirmed,Human,7
2021-02-01,Kirinyaga,Brucellosis,Lab confirmed,Human,251
2021-02-01,Kisii,Brucellosis,Clinically confirmed,Human,802
2021-02-01,Kisii,Brucellosis,Lab confirmed,Human,2473
2021-02-01,Kisumu,Brucellosis,Clinically confirmed,Human,119
2021-02-01,Kisumu,Brucellosis,Lab confirmed,Human,646
2021-02-01,Kitui,Brucellosis,Clinically confirmed,Human,127
2021-02-01,Kitui,Brucellosis,Lab confirmed,Human,674
2021-02-01,Kwale,Brucellosis,Clinically confirmed,Human,75
2021-02-01,Kwale,Brucellosis,Lab confirmed,Human,26
2021-02-01,Laikipia,Brucellosis,Clinically confirmed,Human,101
2021-02-01,Laikipia,Brucellosis,Lab confirmed,Human,275
2021-02-01,Lamu,Brucellosis,Clinically confirmed,Human,10
2021-02-01,Lamu,Brucellosis,Lab confirmed,Human,26
2021-02-01,Machakos,Brucellosis,Clinically confirmed,Human,122
2021-02-01,Machakos,Brucellosis,Lab confirmed,Human,409
2021-02-01,Makueni,Brucellosis,Clinically confirmed,Human,81
2021-02-01,Makueni,Brucellosis,Lab confirmed,Human,278
2021-02-01,Mandera,Brucellosis,Clinically confirmed,Human,105
2021-02-01,Mandera,Brucellosis,Lab confirmed,Human,353
2021-02-01,Marsabit,Brucellosis,Clinically confirmed,Human,289
2021-02-01,Marsabit,Brucellosis,Lab confirmed,Human,535
2021-02-01,Meru,Brucellosis,Clinically confirmed,Human,105
2021-02-01,Meru,Rvf,Clinically confirmed,Human,1
2021-02-01,Meru,Brucellosis,Lab confirmed,Human,457
2021-02-01,Migori,Brucellosis,Clinically confirmed,Human,289
2021-02-01,Migori,Brucellosis,Lab confirmed,Human,1947
2021-02-01,Mombasa,Brucellosis,Clinically confirmed,Human,1
2021-02-01,Mombasa,Brucellosis,Lab confirmed,Human,41
2021-02-01,Murang'a,Brucellosis,Clinically confirmed,Human,26
2021-02-01,Murang'a,Anthrax,Clinically confirmed,Human,12
2021-02-01,Murang'a,Brucellosis,Lab confirmed,Human,97
2021-02-01,Nairobi,Brucellosis,Clinically confirmed,Human,322
2021-02-01,Nairobi,Anthrax,Clinically confirmed,Human,102
2021-02-01,Nairobi,Brucellosis,Lab confirmed,Human,1122
2021-02-01,Nakuru,Brucellosis,Clinically confirmed,Human,685
2021-02-01,Nakuru,Brucellosis,Lab confirmed,Human,2903
2021-02-01,Nandi,Brucellosis,Clinically confirmed,Human,686
2021-02-01,Nandi,Anthrax,Clinically confirmed,Human,4
2021-02-01,Nandi,Brucellosis,Lab confirmed,Human,1331
2021-02-01,Narok,Brucellosis,Clinically confirmed,Human,443
2021-02-01,Narok,Anthrax,Clinically confirmed,Human,1
2021-02-01,Narok,Brucellosis,Lab confirmed,Human,1808
2021-02-01,Nyamira,Brucellosis,Clinically confirmed,Human,157
2021-02-01,Nyamira,Brucellosis,Lab confirmed,Human,698
2021-02-01,Nyandarua,Brucellosis,Clinically confirmed,Human,167
2021-02-01,Nyandarua,Brucellosis,Lab confirmed,Human,572
2021-02-01,Nyeri,Brucellosis,Clinically confirmed,Human,8
2021-02-01,Nyeri,Brucellosis,Lab confirmed,Human,71
2021-02-01,Samburu,Brucellosis,Clinically confirmed,Human,85
2021-02-01,Samburu,Brucellosis,Lab confirmed,Human,592
2021-02-01,Siaya,Brucellosis,Clinically confirmed,Human,46
2021-02-01,Siaya,Rvf,Clinically confirmed,Human,1
2021-02-01,Siaya,Brucellosis,Lab confirmed,Human,244
2021-02-01,Taita Taveta,Brucellosis,Clinically confirmed,Human,7
2021-02-01,Taita Taveta,Brucellosis,Lab confirmed,Human,45
2021-02-01,Tana River,Brucellosis,Clinically confirmed,Human,22
2021-02-01,Tana River,Brucellosis,Lab confirmed,Human,90
2021-02-01,Tharaka Nithi,Brucellosis,Clinically confirmed,Human,113
2021-02-01,Tharaka Nithi,Brucellosis,Lab confirmed,Human,651
2021-02-01,Trans Nzoia,Brucellosis,Clinically confirmed,Human,299
2021-02-01,Trans Nzoia,Brucellosis,Lab confirmed,Human,1792
2021-02-01,Turkana,Brucellosis,Clinically confirmed,Human,237
2021-02-01,Turkana,Brucellosis,Lab confirmed,Human,854
2021-02-01,Uasin Gishu,Brucellosis,Clinically confirmed,Human,2637
2021-02-01,Uasin Gishu,Brucellosis,Lab confirmed,Human,1812
2021-02-01,Vihiga,Brucellosis,Clinically confirmed,Human,40
2021-02-01,Vihiga,Brucellosis,Lab confirmed,Human,363
2021-02-01,Wajir,Brucellosis,Clinically confirmed,Human,26
2021-02-01,Wajir,Brucellosis,Lab confirmed,Human,555
2021-02-01,West Pokot,Brucellosis,Clinically confirmed,Human,520
2021-02-01,West Pokot,Anthrax,Clinically confirmed,Human,24
2021-02-01,West Pokot,Brucellosis,Lab confirmed,Human,3126
2021-03-01,Baringo,Brucellosis,Clinically confirmed,Human,413
2021-03-01,Baringo,Brucellosis,Lab confirmed,Human,1609
2021-03-01,Bomet,Brucellosis,Clinically confirmed,Human,151
2021-03-01,Bomet,Brucellosis,Lab confirmed,Human,710
2021-03-01,Bungoma,Brucellosis,Clinically confirmed,Human,1067
2021-03-01,Bungoma,Brucellosis,Lab confirmed,Human,4036
2021-03-01,Busia,Brucellosis,Clinically confirmed,Human,66
2021-03-01,Busia,Anthrax,Clinically confirmed,Human,11
2021-03-01,Busia,Brucellosis,Lab confirmed,Human,479
2021-03-01,Elgeyo Marakwet,Brucellosis,Clinically confirmed,Human,575
2021-03-01,Elgeyo Marakwet,Brucellosis,Lab confirmed,Human,1571
2021-03-01,Embu,Brucellosis,Clinically confirmed,Human,74
2021-03-01,Embu,Anthrax,Clinically confirmed,Human,2
2021-03-01,Embu,Brucellosis,Lab confirmed,Human,734
2021-03-01,Garissa,Brucellosis,Clinically confirmed,Human,157
2021-03-01,Garissa,Brucellosis,Lab confirmed,Human,746
2021-03-01,Homa Bay,Brucellosis,Clinically confirmed,Human,173
2021-03-01,Homa Bay,Rvf,Clinically confirmed,Human,5
2021-03-01,Homa Bay,Anthrax,Clinically confirmed,Human,1
2021-03-01,Homa Bay,Brucellosis,Lab confirmed,Human,876
2021-03-01,Isiolo,Brucellosis,Clinically confirmed,Human,1046
2021-03-01,Isiolo,Rvf,Clinically confirmed,Human,1
2021-03-01,Isiolo,Brucellosis,Lab confirmed,Human,952
2021-03-01,Kajiado,Brucellosis,Clinically confirmed,Human,198
2021-03-01,Kajiado,Anthrax,Clinically confirmed,Human,51
2021-03-01,Kajiado,Brucellosis,Lab confirmed,Human,1512
2021-03-01,Kakamega,Brucellosis,Clinically confirmed,Human,206
2021-03-01,Kakamega,Brucellosis,Lab confirmed,Human,663
2021-03-01,Kericho,Brucellosis,Clinically confirmed,Human,476
2021-03-01,Kericho,Brucellosis,Lab confirmed,Human,2269
2021-03-01,Kiambu,Brucellosis,Clinically confirmed,Human,63
2021-03-01,Kiambu,Brucellosis,Lab confirmed,Human,647
2021-03-01,Kilifi,Brucellosis,Clinically confirmed,Human,38
2021-03-01,Kilifi,Anthrax,Clinically confirmed,Human,108
2021-03-01,Kilifi,Brucellosis,Lab confirmed,Human,206
2021-03-01,Kirinyaga,Brucellosis,Clinically confirmed,Human,8
2021-03-01,Kirinyaga,Brucellosis,Lab confirmed,Human,277
2021-03-01,Kisii,Brucellosis,Clinically confirmed,Human,849
2021-03-01,Kisii,Brucellosis,Lab confirmed,Human,3626
2021-03-01,Kisumu,Brucellosis,Clinically confirmed,Human,79
2021-03-01,Kisumu,Brucellosis,Lab confirmed,Human,887
2021-03-01,Kitui,Brucellosis,Clinically confirmed,Human,131
2021-03-01,Kitui,Brucellosis,Lab confirmed,Human,1192
2021-03-01,Kwale,Brucellosis,Clinically confirmed,Human,52
2021-03-01,Kwale,Brucellosis,Lab confirmed,Human,22
2021-03-01,Laikipia,Brucellosis,Clinically confirmed,Human,97
2021-03-01,Laikipia,Anthrax,Clinically confirmed,Human,6
2021-03-01,Laikipia,Brucellosis,Lab confirmed,Human,278
2021-03-01,Lamu,Brucellosis,Clinically confirmed,Human,2
2021-03-01,Lamu,Brucellosis,Lab confirmed,Human,9
2021-03-01,Machakos,Brucellosis,Clinically confirmed,Human,129
2021-03-01,Machakos,Brucellosis,Lab confirmed,Human,376
2021-03-01,Makueni,Brucellosis,Clinically confirmed,Human,26
2021-03-01,Makueni,Brucellosis,Lab confirmed,Human,272
2021-03-01,Mandera,Brucellosis,Clinically confirmed,Human,140
2021-03-01,Mandera,Brucellosis,Lab confirmed,Human,474
2021-03-01,Marsabit,Brucellosis,Clinically confirmed,Human,345
2021-03-01,Marsabit,Brucellosis,Lab confirmed,Human,359
2021-03-01,Meru,Brucellosis,Clinically confirmed,Human,58
2021-03-01,Meru,Brucellosis,Lab confirmed,Human,332
2021-03-01,Migori,Brucellosis,Clinically confirmed,Human,308
2021-03-01,Migori,Brucellosis,Lab confirmed,Human,2078
2021-03-01,Mombasa,Brucellosis,Clinically confirmed,Human,7
2021-03-01,Mombasa,Anthrax,Clinically confirmed,Human,83
2021-03-01,Mombasa,Brucellosis,Lab confirmed,Human,593
2021-03-01,Murang'a,Brucellosis,Clinically confirmed,Human,10
2021-03-01,Murang'a,Rvf,Clinically confirmed,Human,1
2021-03-01,Murang'a,Brucellosis,Lab confirmed,Human,158
2021-03-01,Nairobi,Brucellosis,Clinically confirmed,Human,392
2021-03-01,Nairobi,Anthrax,Clinically confirmed,Human,837
2021-03-01,Nairobi,Brucellosis,Lab confirmed,Human,947
2021-03-01,Nakuru,Brucellosis,Clinically confirmed,Human,795
2021-03-01,Nakuru,Brucellosis,Lab confirmed,Human,3133
2021-03-01,Nandi,Brucellosis,Clinically confirmed,Human,689
2021-03-01,Nandi,Anthrax,Clinically confirmed,Human,4
2021-03-01,Nandi,Brucellosis,Lab confirmed,Human,1747
2021-03-01,Narok,Brucellosis,Clinically confirmed,Human,585
2021-03-01,Narok,Anthrax,Clinically confirmed,Human,11
2021-03-01,Narok,Brucellosis,Lab confirmed,Human,1683
