county,variable,estimate,std.error,statistic,p.value,conf_low,conf_high,significant
West Pokot,Animal Incidence,0.223,0.284,0.783,0.459,-0.245,0.691,Not Significant
Kakamega,(Intercept),0.541,0.03,18.057,0.003,0.492,0.59,Significant
Kakamega,Animal Incidence,-0.054,0.017,-3.135,0.088,-0.082,-0.026,Significant
Nyamira,(Intercept),1.568,0.205,7.646,0.017,1.231,1.905,Significant
Nyamira,Animal Incidence,-0.001,0.007,-0.095,0.933,-0.013,0.011,Not Significant
Vihiga,(Intercept),0.423,0.051,8.223,0.014,0.338,0.507,Significant
Vihiga,Animal Incidence,0.115,0.024,4.836,0.04,0.076,0.154,Significant
Laikipia,(Intercept),0.757,NA,NA,NA,NA,NA,NA
Laikipia,Animal Incidence,NA,NA,NA,NA,NA,NA,NA
Kajiado,(Intercept),0.282,NA,NA,NA,NA,NA,NA
Kajiado,Animal Incidence,3.258,NA,NA,NA,NA,NA,NA
Marsabit,(Intercept),1.174,0.074,15.936,0,1.053,1.295,Significant
Marsabit,Animal Incidence,-0.022,0.039,-0.578,0.575,-0.086,0.041,Not Significant
Elgeyo Marakwet,(Intercept),3.825,0.495,7.728,0.082,3.011,4.639,Significant
Elgeyo Marakwet,Animal Incidence,NA,NA,NA,NA,NA,NA,NA
Homa Bay,(Intercept),1.032,NA,NA,NA,NA,NA,NA
Homa Bay,Animal Incidence,NA,NA,NA,NA,NA,NA,NA
