county,variable,estimate,std.error,statistic,p.value,conf_low,conf_high,significant
Uasin Gishu,(Intercept),0.35,NA,NA,NA,NA,NA,NA
Uasin Gishu,Animal Incidence,0.126,NA,NA,NA,NA,NA,NA
Nyeri,(Intercept),-0.007,NA,NA,NA,NA,NA,NA
Nyeri,Animal Incidence,0.012,NA,NA,NA,NA,NA,NA
Kirinyaga,(Intercept),0.002,NA,NA,NA,NA,NA,NA
Kirinyaga,Animal Incidence,NA,NA,NA,NA,NA,NA,NA
Garissa,(Intercept),0.757,0.286,2.651,0.077,0.287,1.227,Significant
Garissa,Animal Incidence,0.615,0.618,0.996,0.393,-0.401,1.632,Not Significant
Mandera,(Intercept),1.12,0.323,3.467,0.04,0.589,1.652,Significant
Mandera,Animal Incidence,-0.568,0.461,-1.232,0.306,-1.326,0.191,Not Significant
Mombasa,(Intercept),0.009,NA,NA,NA,NA,NA,NA
Mombasa,Animal Incidence,NA,NA,NA,NA,NA,NA,NA
Kilifi,(Intercept),-0.015,NA,NA,NA,NA,NA,NA
Kilifi,Animal Incidence,0.007,NA,NA,NA,NA,NA,NA
Tana River,(Intercept),0.078,NA,NA,NA,NA,NA,NA
Tana River,Animal Incidence,0.122,NA,NA,NA,NA,NA,NA
Siaya,(Intercept),0.418,0.298,1.4,0.204,-0.073,0.908,Not Significant
Siaya,Animal Incidence,0.165,0.394,0.419,0.688,-0.483,0.813,Not Significant
Nakuru,(Intercept),1.361,0.104,13.091,0,1.19,1.532,Significant
Nakuru,Animal Incidence,0.121,0.048,2.507,0.033,0.042,0.2,Significant
Bomet,(Intercept),0.981,0.201,4.884,0.001,0.651,1.312,Significant
Bomet,Animal Incidence,0.153,0.114,1.341,0.217,-0.035,0.341,Not Significant
Kwale,(Intercept),0.204,NA,NA,NA,NA,NA,NA
Kwale,Animal Incidence,NA,NA,NA,NA,NA,NA,NA
Narok,(Intercept),2.19,NA,NA,NA,NA,NA,NA
Narok,Animal Incidence,NA,NA,NA,NA,NA,NA,NA
Makueni,(Intercept),0.332,0.039,8.53,0,0.268,0.396,Significant
Makueni,Animal Incidence,0.007,0.024,0.283,0.786,-0.032,0.046,Not Significant
Tharaka Nithi,(Intercept),1.93,0.298,6.471,0.003,1.439,2.42,Significant
Tharaka Nithi,Animal Incidence,-0.082,0.151,-0.545,0.615,-0.331,0.167,Not Significant
Meru,(Intercept),0.51,NA,NA,NA,NA,NA,NA
Meru,Animal Incidence,NA,NA,NA,NA,NA,NA,NA
Wajir,(Intercept),0.422,NA,NA,NA,NA,NA,NA
Wajir,Animal Incidence,NA,NA,NA,NA,NA,NA,NA
Baringo,(Intercept),2.164,0.479,4.518,0.046,1.376,2.951,Significant
Baringo,Animal Incidence,-0.123,0.204,-0.605,0.607,-0.458,0.212,Not Significant
Kericho,(Intercept),2.416,NA,NA,NA,NA,NA,NA
Kericho,Animal Incidence,NA,NA,NA,NA,NA,NA,NA
Nandi,(Intercept),1.247,0.52,2.399,0.096,0.392,2.101,Significant
Nandi,Animal Incidence,3.503,0.505,6.941,0.006,2.673,4.334,Significant
Kisii,(Intercept),3.252,0.123,26.401,0.001,3.049,3.455,Significant
Kisii,Animal Incidence,NA,NA,NA,NA,NA,NA,NA
Migori,(Intercept),1.242,NA,NA,NA,NA,NA,NA
Migori,Animal Incidence,NA,NA,NA,NA,NA,NA,NA
Murang'a,(Intercept),0.109,NA,NA,NA,NA,NA,NA
Murang'a,Animal Incidence,-0,NA,NA,NA,NA,NA,NA
Busia,(Intercept),0.542,0.104,5.212,0.035,0.371,0.714,Significant
Busia,Animal Incidence,0.081,0.091,0.881,0.471,-0.07,0.231,Not Significant
Isiolo,(Intercept),1.292,0.355,3.635,0.171,0.707,1.877,Significant
Isiolo,Animal Incidence,4.598,2.757,1.668,0.344,0.064,9.133,Significant
Bungoma,(Intercept),2.653,0.267,9.929,0,2.213,3.092,Significant
Bungoma,Animal Incidence,0.139,0.333,0.419,0.69,-0.408,0.687,Not Significant
Turkana,(Intercept),1.11,0.053,20.86,0,1.022,1.197,Significant
Turkana,Animal Incidence,0.057,0.025,2.287,0.035,0.016,0.097,Significant
Embu,(Intercept),0.909,0.244,3.719,0.167,0.507,1.311,Significant
Embu,Animal Incidence,0.071,0.271,0.261,0.838,-0.375,0.517,Not Significant
Machakos,(Intercept),0.246,0.062,3.977,0.011,0.144,0.348,Significant
Machakos,Animal Incidence,0.253,0.134,1.882,0.119,0.032,0.474,Significant
Samburu,(Intercept),0.577,0.781,0.738,0.537,-0.708,1.862,Not Significant
Samburu,Animal Incidence,0.443,0.394,1.124,0.378,-0.205,1.091,Not Significant
Kitui,(Intercept),0.613,0.215,2.851,0.065,0.259,0.967,Significant
Kitui,Animal Incidence,0.425,0.414,1.027,0.38,-0.256,1.105,Not Significant
Taita Taveta,(Intercept),0.145,0.156,0.931,0.523,-0.111,0.401,Not Significant
Taita Taveta,Animal Incidence,0.145,0.14,1.04,0.487,-0.084,0.375,Not Significant
Trans Nzoia,(Intercept),3,0.534,5.617,0.011,2.121,3.878,Significant
Trans Nzoia,Animal Incidence,-0.482,0.416,-1.16,0.33,-1.166,0.201,Not Significant
West Pokot,(Intercept),4.276,0.349,12.237,0,3.701,4.851,Significant
