county,variable,estimate,std.error,statistic,p.value,conf_low,conf_high,significant
Bomet,(Intercept),0.948,0.042,22.833,0,0.88,1.016,Significant
Bomet,Animal Incidence,0.055,0.091,0.6,0.55,-0.095,0.205,Not Significant
Bungoma,(Intercept),1.738,0.081,21.402,0,1.604,1.872,Significant
Bungoma,Animal Incidence,2.207,2.863,0.771,0.443,-2.502,6.917,Not Significant
Busia,(Intercept),0.626,0.08,7.797,0,0.494,0.758,Significant
Busia,Animal Incidence,0.125,0.207,0.603,0.548,-0.215,0.465,Not Significant
Kilifi,(Intercept),0.032,0.004,7.646,0,0.025,0.039,Significant
Kilifi,Animal Incidence,0.369,0.2,1.842,0.069,0.039,0.699,Significant
Kirinyaga,(Intercept),0.264,0.027,9.882,0,0.22,0.308,Significant
Kirinyaga,Animal Incidence,0.052,0.072,0.728,0.469,-0.066,0.17,Not Significant
