periodid,periodname,periodcode,perioddescription,orgunitlevel1,orgunitlevel2,orgunitlevel3,organisationunitid,organisationunitname,organisationunitcode,organisationunitdescription,Upper Respiratory Tract Infections,Respiratory Tuberculosis,Other  Dis. Of  Respiratory System,Other acute lower respiratory infections,"Ca of trachea, bronchus and lung",Total number of new cancer patients
202303,March 2023,202303,,Kenya,Siaya County,Rarieda Sub County,XcRpb1xsM64,Rarieda Sub County,KE_SubCounty_3200,,4348,,256,,,33
202303,March 2023,202303,,Kenya,Siaya County,Ugenya Sub County,InECuIlzJGx,Ugenya Sub County,KE_SubCounty_3205,,3712,2,299,,,
202303,March 2023,202303,,Kenya,Siaya County,Ugunja Sub County,m9nsQ1MXlVU,Ugunja Sub County,KE_SubCounty_3204,,6958,1,250,4,,
202304,April 2023,202304,,Kenya,Siaya County,,u4t9H8XyU9P,Siaya County,KE_County_41,,27735,1,1549,7,,18
202304,April 2023,202304,,Kenya,Siaya County,Alego Usonga Sub County,Cu46otDi1RO,Alego Usonga Sub County,KE_SubCounty_3203,,5462,,187,,,
202304,April 2023,202304,,Kenya,Siaya County,Bondo Sub County,JNvqpOnKfGR,Bondo Sub County,KE_SubCounty_3201,,4800,,113,,,
202304,April 2023,202304,,Kenya,Siaya County,Gem Sub County,PKeFksHlJkB,Gem Sub County,KE_SubCounty_3202,,7265,,282,,,
202304,April 2023,202304,,Kenya,Siaya County,Rarieda Sub County,XcRpb1xsM64,Rarieda Sub County,KE_SubCounty_3200,,4032,,420,,,18
202304,April 2023,202304,,Kenya,Siaya County,Ugenya Sub County,InECuIlzJGx,Ugenya Sub County,KE_SubCounty_3205,,2674,1,331,7,,
202304,April 2023,202304,,Kenya,Siaya County,Ugunja Sub County,m9nsQ1MXlVU,Ugunja Sub County,KE_SubCounty_3204,,3502,,216,,,
202305,May 2023,202305,,Kenya,Siaya County,,u4t9H8XyU9P,Siaya County,KE_County_41,,45963,6,3239,,,57
202305,May 2023,202305,,Kenya,Siaya County,Alego Usonga Sub County,Cu46otDi1RO,Alego Usonga Sub County,KE_SubCounty_3203,,9183,,815,,,
202305,May 2023,202305,,Kenya,Siaya County,Bondo Sub County,JNvqpOnKfGR,Bondo Sub County,KE_SubCounty_3201,,7551,6,142,,,
202305,May 2023,202305,,Kenya,Siaya County,Gem Sub County,PKeFksHlJkB,Gem Sub County,KE_SubCounty_3202,,9918,,738,,,
202305,May 2023,202305,,Kenya,Siaya County,Rarieda Sub County,XcRpb1xsM64,Rarieda Sub County,KE_SubCounty_3200,,8579,,835,,,57
202305,May 2023,202305,,Kenya,Siaya County,Ugenya Sub County,InECuIlzJGx,Ugenya Sub County,KE_SubCounty_3205,,5037,,464,,,
202305,May 2023,202305,,Kenya,Siaya County,Ugunja Sub County,m9nsQ1MXlVU,Ugunja Sub County,KE_SubCounty_3204,,5695,,245,,,
202306,June 2023,202306,,Kenya,Siaya County,,u4t9H8XyU9P,Siaya County,KE_County_41,,46226,21,2507,1,,
202306,June 2023,202306,,Kenya,Siaya County,Alego Usonga Sub County,Cu46otDi1RO,Alego Usonga Sub County,KE_SubCounty_3203,,10708,,326,,,
202306,June 2023,202306,,Kenya,Siaya County,Bondo Sub County,JNvqpOnKfGR,Bondo Sub County,KE_SubCounty_3201,,7876,4,238,,,
202306,June 2023,202306,,Kenya,Siaya County,Gem Sub County,PKeFksHlJkB,Gem Sub County,KE_SubCounty_3202,,10449,,408,,,
202306,June 2023,202306,,Kenya,Siaya County,Rarieda Sub County,XcRpb1xsM64,Rarieda Sub County,KE_SubCounty_3200,,7170,17,868,,,
202306,June 2023,202306,,Kenya,Siaya County,Ugenya Sub County,InECuIlzJGx,Ugenya Sub County,KE_SubCounty_3205,,5135,,475,,,
202306,June 2023,202306,,Kenya,Siaya County,Ugunja Sub County,m9nsQ1MXlVU,Ugunja Sub County,KE_SubCounty_3204,,4888,,192,1,,
202307,July 2023,202307,,Kenya,Siaya County,,u4t9H8XyU9P,Siaya County,KE_County_41,,38842,11,2732,1,,
202307,July 2023,202307,,Kenya,Siaya County,Alego Usonga Sub County,Cu46otDi1RO,Alego Usonga Sub County,KE_SubCounty_3203,,7239,6,770,,,
202307,July 2023,202307,,Kenya,Siaya County,Bondo Sub County,JNvqpOnKfGR,Bondo Sub County,KE_SubCounty_3201,,6846,3,158,,,
202307,July 2023,202307,,Kenya,Siaya County,Gem Sub County,PKeFksHlJkB,Gem Sub County,KE_SubCounty_3202,,9174,,468,,,
202307,July 2023,202307,,Kenya,Siaya County,Rarieda Sub County,XcRpb1xsM64,Rarieda Sub County,KE_SubCounty_3200,,6947,,614,,,
202307,July 2023,202307,,Kenya,Siaya County,Ugenya Sub County,InECuIlzJGx,Ugenya Sub County,KE_SubCounty_3205,,4586,2,470,,,
202307,July 2023,202307,,Kenya,Siaya County,Ugunja Sub County,m9nsQ1MXlVU,Ugunja Sub County,KE_SubCounty_3204,,4050,,252,1,,
202308,August 2023,202308,,Kenya,Siaya County,,u4t9H8XyU9P,Siaya County,KE_County_41,,34580,24,2211,1,1,
202308,August 2023,202308,,Kenya,Siaya County,Alego Usonga Sub County,Cu46otDi1RO,Alego Usonga Sub County,KE_SubCounty_3203,,8152,9,542,,1,
202308,August 2023,202308,,Kenya,Siaya County,Bondo Sub County,JNvqpOnKfGR,Bondo Sub County,KE_SubCounty_3201,,6646,9,104,,,
202308,August 2023,202308,,Kenya,Siaya County,Gem Sub County,PKeFksHlJkB,Gem Sub County,KE_SubCounty_3202,,7059,,416,,,
202308,August 2023,202308,,Kenya,Siaya County,Rarieda Sub County,XcRpb1xsM64,Rarieda Sub County,KE_SubCounty_3200,,4831,,443,,,
202308,August 2023,202308,,Kenya,Siaya County,Ugenya Sub County,InECuIlzJGx,Ugenya Sub County,KE_SubCounty_3205,,3867,3,458,,,
202308,August 2023,202308,,Kenya,Siaya County,Ugunja Sub County,m9nsQ1MXlVU,Ugunja Sub County,KE_SubCounty_3204,,4025,3,248,1,,
202309,September 2023,202309,,Kenya,Siaya County,,u4t9H8XyU9P,Siaya County,KE_County_41,,33964,1,2021,6,2,
202309,September 2023,202309,,Kenya,Siaya County,Alego Usonga Sub County,Cu46otDi1RO,Alego Usonga Sub County,KE_SubCounty_3203,,7121,,422,,,
202309,September 2023,202309,,Kenya,Siaya County,Bondo Sub County,JNvqpOnKfGR,Bondo Sub County,KE_SubCounty_3201,,6133,,198,6,2,
202309,September 2023,202309,,Kenya,Siaya County,Gem Sub County,PKeFksHlJkB,Gem Sub County,KE_SubCounty_3202,,7213,,399,,,
202309,September 2023,202309,,Kenya,Siaya County,Rarieda Sub County,XcRpb1xsM64,Rarieda Sub County,KE_SubCounty_3200,,4993,,508,,,
202309,September 2023,202309,,Kenya,Siaya County,Ugenya Sub County,InECuIlzJGx,Ugenya Sub County,KE_SubCounty_3205,,4952,,252,,,
202309,September 2023,202309,,Kenya,Siaya County,Ugunja Sub County,m9nsQ1MXlVU,Ugunja Sub County,KE_SubCounty_3204,,3552,1,242,,,
202310,October 2023,202310,,Kenya,Siaya County,,u4t9H8XyU9P,Siaya County,KE_County_41,,30368,6,1941,1,,
202310,October 2023,202310,,Kenya,Siaya County,Alego Usonga Sub County,Cu46otDi1RO,Alego Usonga Sub County,KE_SubCounty_3203,,6872,2,520,1,,
202310,October 2023,202310,,Kenya,Siaya County,Bondo Sub County,JNvqpOnKfGR,Bondo Sub County,KE_SubCounty_3201,,5279,,110,,,
202310,October 2023,202310,,Kenya,Siaya County,Gem Sub County,PKeFksHlJkB,Gem Sub County,KE_SubCounty_3202,,6512,,282,,,
202310,October 2023,202310,,Kenya,Siaya County,Rarieda Sub County,XcRpb1xsM64,Rarieda Sub County,KE_SubCounty_3200,,4694,,605,,,
202310,October 2023,202310,,Kenya,Siaya County,Ugenya Sub County,InECuIlzJGx,Ugenya Sub County,KE_SubCounty_3205,,3528,2,111,,,
202310,October 2023,202310,,Kenya,Siaya County,Ugunja Sub County,m9nsQ1MXlVU,Ugunja Sub County,KE_SubCounty_3204,,3483,2,313,,,
202311,November 2023,202311,,Kenya,Siaya County,,u4t9H8XyU9P,Siaya County,KE_County_41,,18551,3,872,2,,
202311,November 2023,202311,,Kenya,Siaya County,Alego Usonga Sub County,Cu46otDi1RO,Alego Usonga Sub County,KE_SubCounty_3203,,1983,,25,2,,
202311,November 2023,202311,,Kenya,Siaya County,Bondo Sub County,JNvqpOnKfGR,Bondo Sub County,KE_SubCounty_3201,,3705,,87,,,
202311,November 2023,202311,,Kenya,Siaya County,Gem Sub County,PKeFksHlJkB,Gem Sub County,KE_SubCounty_3202,,4644,1,209,,,
202311,November 2023,202311,,Kenya,Siaya County,Rarieda Sub County,XcRpb1xsM64,Rarieda Sub County,KE_SubCounty_3200,,2794,,270,,,
202311,November 2023,202311,,Kenya,Siaya County,Ugenya Sub County,InECuIlzJGx,Ugenya Sub County,KE_SubCounty_3205,,2926,,148,,,
202311,November 2023,202311,,Kenya,Siaya County,Ugunja Sub County,m9nsQ1MXlVU,Ugunja Sub County,KE_SubCounty_3204,,2499,2,133,,,
202312,December 2023,202312,,Kenya,Siaya County,,u4t9H8XyU9P,Siaya County,KE_County_41,,15615,3,3044,2,1,
202312,December 2023,202312,,Kenya,Siaya County,Alego Usonga Sub County,Cu46otDi1RO,Alego Usonga Sub County,KE_SubCounty_3203,,1085,,17,,,
202312,December 2023,202312,,Kenya,Siaya County,Bondo Sub County,JNvqpOnKfGR,Bondo Sub County,KE_SubCounty_3201,,3185,1,74,2,1,
202312,December 2023,202312,,Kenya,Siaya County,Gem Sub County,PKeFksHlJkB,Gem Sub County,KE_SubCounty_3202,,3638,,2327,,,
202312,December 2023,202312,,Kenya,Siaya County,Rarieda Sub County,XcRpb1xsM64,Rarieda Sub County,KE_SubCounty_3200,,3634,,320,,,
202312,December 2023,202312,,Kenya,Siaya County,Ugenya Sub County,InECuIlzJGx,Ugenya Sub County,KE_SubCounty_3205,,2052,2,134,,,
202312,December 2023,202312,,Kenya,Siaya County,Ugunja Sub County,m9nsQ1MXlVU,Ugunja Sub County,KE_SubCounty_3204,,2021,,172,,,
