periodid,periodname,periodcode,perioddescription,organisationunitid,organisationunitname,organisationunitcode,organisationunitdescription,MOH 706_Brucella,Brucellosis
202302,February 2023,202302,,tAbBVBbueqD,Kisumu County,KE_County_42,,388,87
202302,February 2023,202302,,j8o6iO4Njsi,Kitui County,KE_County_15,,448,112
202302,February 2023,202302,,N7YETT3A9r1,Kwale County,KE_County_2,,0,11
202302,February 2023,202302,,xuFdFy6t9AH,Laikipia County,KE_County_31,,77,24
202302,February 2023,202302,,NjWSbQTwys4,Lamu County,KE_County_5,,7,
202302,February 2023,202302,,yhCUgGcCcOo,Machakos County,KE_County_16,,170,52
202302,February 2023,202302,,BoDytkJQ4Qi,Makueni County,KE_County_17,,156,46
202302,February 2023,202302,,R6f9znhg37c,Mandera County,KE_County_9,,569,68
202302,February 2023,202302,,Eey8fT4Im3y,Marsabit County,KE_County_10,,466,234
202302,February 2023,202302,,Y52XNJ50hYb,Meru County,KE_County_12,,123,65
202302,February 2023,202302,,fVra3Pwta0Q,Migori County,KE_County_44,,1187,399
202302,February 2023,202302,,wsBsC6gjHvn,Mombasa County,KE_County_1,,24,
202302,February 2023,202302,,ahwTMNAJvrL,Muranga County,KE_County_21,,42,41
202302,February 2023,202302,,jkG3zaihdSs,Nairobi County,KE_County_47,,916,767
202302,February 2023,202302,,ob6SxuRcqU4,Nakuru County,KE_County_32,,2191,499
202302,February 2023,202302,,t0J75eHKxz5,Nandi County,KE_County_29,,1264,655
202302,February 2023,202302,,kqJ83J2D72s,Narok County,KE_County_33,,1680,579
202302,February 2023,202302,,uepLTG8wGWJ,Nyamira County,KE_County_46,,715,192
202302,February 2023,202302,,mYZacFNIB3h,Nyandarua County,KE_County_18,,442,55
202302,February 2023,202302,,ptWVfaCIdVx,Nyeri County,KE_County_19,,87,1
202302,February 2023,202302,,o36zCRjSd4G,Samburu County,KE_County_25,,303,60
202302,February 2023,202302,,u4t9H8XyU9P,Siaya County,KE_County_41,,413,66
202302,February 2023,202302,,QyGNX2DpR4h,Taita Taveta County,KE_County_6,,78,5
202302,February 2023,202302,,JsH2bnvNt2d,Tana River County,KE_County_4,,132,36
202302,February 2023,202302,,T4urHM47nlm,Tharaka Nithi County,KE_County_13,,472,55
202302,February 2023,202302,,mThvosEflAU,Trans Nzoia County,KE_County_26,,1804,391
202302,February 2023,202302,,kphDeKClFch,Turkana County,KE_County_23,,747,162
202302,February 2023,202302,,pZqQRRW7PHP,Uasin Gishu County,KE_County_27,,1653,432
202302,February 2023,202302,,sANMZ3lpqGs,Vihiga County,KE_County_38,,233,69
202302,February 2023,202302,,CeLsrJOH0g9,Wajir County,KE_County_8,,323,23
202302,February 2023,202302,,XWALbfAPa6n,West Pokot County,KE_County_24,,1604,429
202303,March 2023,202303,,vvOK1BxTbet,Baringo County,KE_County_30,,1155,438
202303,March 2023,202303,,HMNARUV2CW4,Bomet County,KE_County_36,,1145,112
202303,March 2023,202303,,KGHhQ5GLd4k,Bungoma County,KE_County_39,,3370,724
202303,March 2023,202303,,Tvf1zgVZ0K4,Busia County,KE_County_40,,608,118
202303,March 2023,202303,,MqnLxQBigG0,Elgeyo Marakwet County,KE_County_28,,1275,585
202303,March 2023,202303,,PFu8alU2KWG,Embu County,KE_County_14,,476,128
202303,March 2023,202303,,uyOrcHZBpW0,Garissa County,KE_County_7,,436,86
202303,March 2023,202303,,nK0A12Q7MvS,Homa Bay County,KE_County_43,,727,200
202303,March 2023,202303,,bzOfj0iwfDH,Isiolo County,KE_County_11,,567,74
202303,March 2023,202303,,Hsk1YV8kHkT,Kajiado County,KE_County_34,,731,177
202303,March 2023,202303,,BjC1xL40gHo,Kakamega County,KE_County_37,,781,142
202303,March 2023,202303,,ihZsJ8alvtb,Kericho County,KE_County_35,,1870,643
202303,March 2023,202303,,qKzosKQPl6G,Kiambu County,KE_County_22,,113,30
202303,March 2023,202303,,nrI2khZx3d0,Kilifi County,KE_County_3,,75,4
202303,March 2023,202303,,Ulj33KBau7V,Kirinyaga County,KE_County_20,,117,7
202303,March 2023,202303,,sPkRcDvhGWA,Kisii County,KE_County_45,,3856,690
202303,March 2023,202303,,tAbBVBbueqD,Kisumu County,KE_County_42,,408,107
202303,March 2023,202303,,j8o6iO4Njsi,Kitui County,KE_County_15,,496,192
202303,March 2023,202303,,N7YETT3A9r1,Kwale County,KE_County_2,,9,8
202303,March 2023,202303,,xuFdFy6t9AH,Laikipia County,KE_County_31,,67,52
202303,March 2023,202303,,NjWSbQTwys4,Lamu County,KE_County_5,,13,7
202303,March 2023,202303,,yhCUgGcCcOo,Machakos County,KE_County_16,,124,63
202303,March 2023,202303,,BoDytkJQ4Qi,Makueni County,KE_County_17,,117,28
202303,March 2023,202303,,R6f9znhg37c,Mandera County,KE_County_9,,448,41
202303,March 2023,202303,,Eey8fT4Im3y,Marsabit County,KE_County_10,,514,196
202303,March 2023,202303,,Y52XNJ50hYb,Meru County,KE_County_12,,158,160
202303,March 2023,202303,,fVra3Pwta0Q,Migori County,KE_County_44,,1300,567
202303,March 2023,202303,,wsBsC6gjHvn,Mombasa County,KE_County_1,,16,2
202303,March 2023,202303,,ahwTMNAJvrL,Muranga County,KE_County_21,,51,8
202303,March 2023,202303,,jkG3zaihdSs,Nairobi County,KE_County_47,,784,196
202303,March 2023,202303,,ob6SxuRcqU4,Nakuru County,KE_County_32,,4588,592
202303,March 2023,202303,,t0J75eHKxz5,Nandi County,KE_County_29,,1140,480
202303,March 2023,202303,,kqJ83J2D72s,Narok County,KE_County_33,,1909,699
202303,March 2023,202303,,uepLTG8wGWJ,Nyamira County,KE_County_46,,742,129
202303,March 2023,202303,,mYZacFNIB3h,Nyandarua County,KE_County_18,,575,102
202303,March 2023,202303,,ptWVfaCIdVx,Nyeri County,KE_County_19,,92,1
202303,March 2023,202303,,o36zCRjSd4G,Samburu County,KE_County_25,,234,56
202303,March 2023,202303,,u4t9H8XyU9P,Siaya County,KE_County_41,,398,80
202303,March 2023,202303,,QyGNX2DpR4h,Taita Taveta County,KE_County_6,,117,6
202303,March 2023,202303,,JsH2bnvNt2d,Tana River County,KE_County_4,,160,60
202303,March 2023,202303,,T4urHM47nlm,Tharaka Nithi County,KE_County_13,,459,51
202303,March 2023,202303,,mThvosEflAU,Trans Nzoia County,KE_County_26,,1972,387
202303,March 2023,202303,,kphDeKClFch,Turkana County,KE_County_23,,907,247
