county,variable,estimate,std.error,statistic,p.value,conf_low,conf_high,significant
Baringo,(Intercept),1.65,0.08,20.711,0,1.519,1.781,Significant
Baringo,Cattle incidence,0.462,0.469,0.985,0.327,-0.309,1.233,Not Significant
Baringo,Goat Incidence,0.346,0.25,1.38,0.171,-0.066,0.758,Not Significant
Baringo,Sheep incidence,-1.477,1.579,-0.935,0.352,-4.074,1.12,Not Significant
Baringo,Camel incidence,NA,NA,NA,NA,NA,NA,NA
Bomet,(Intercept),0.294,0.038,7.746,0,0.231,0.356,Significant
Bomet,Cattle incidence,NA,NA,NA,NA,NA,NA,NA
Bomet,Goat Incidence,2.045,7.379,0.277,0.787,-10.092,14.183,Not Significant
Bomet,Sheep incidence,NA,NA,NA,NA,NA,NA,NA
Bomet,Camel incidence,NA,NA,NA,NA,NA,NA,NA
Bungoma,(Intercept),1.633,0.402,4.058,0.004,0.971,2.294,Significant
Bungoma,Cattle incidence,4.048,8.21,0.493,0.635,-9.458,17.554,Not Significant
Bungoma,Goat Incidence,9.486,26.596,0.357,0.731,-34.265,53.238,Not Significant
Bungoma,Sheep incidence,1.864,54.939,0.034,0.974,-88.51,92.239,Not Significant
Bungoma,Camel incidence,NA,NA,NA,NA,NA,NA,NA
Busia,(Intercept),0.465,0.062,7.46,0,0.363,0.568,Significant
Busia,Cattle incidence,-1.202,1.363,-0.882,0.398,-3.444,1.04,Not Significant
Busia,Goat Incidence,NA,NA,NA,NA,NA,NA,NA
Busia,Sheep incidence,NA,NA,NA,NA,NA,NA,NA
Busia,Camel incidence,NA,NA,NA,NA,NA,NA,NA
Elgeyo Marakwet,(Intercept),3.744,0.178,21.026,0,3.451,4.037,Significant
Elgeyo Marakwet,Cattle incidence,-31.654,17.6,-1.799,0.075,-60.606,-2.702,Significant
Elgeyo Marakwet,Goat Incidence,NA,NA,NA,NA,NA,NA,NA
Elgeyo Marakwet,Sheep incidence,NA,NA,NA,NA,NA,NA,NA
Elgeyo Marakwet,Camel incidence,NA,NA,NA,NA,NA,NA,NA
Embu,(Intercept),0.505,0.035,14.224,0,0.446,0.563,Significant
Embu,Cattle incidence,0.155,0.072,2.148,0.034,0.036,0.274,Significant
Embu,Goat Incidence,NA,NA,NA,NA,NA,NA,NA
Embu,Sheep incidence,NA,NA,NA,NA,NA,NA,NA
Embu,Camel incidence,NA,NA,NA,NA,NA,NA,NA
Garissa,(Intercept),0.987,0.052,19.096,0,0.902,1.072,Significant
